iso3,gpcp,year,lgpcp,lgpcp_l,lgpcp_l2,lgpcp_l3,lgpcp_l4
RWA,1677.7722787857056,2022,7.425222167916481,7.301377529391657,7.345679833094637,7.372578486314474,7.460084658743208
RWA,1502.9315779209137,2023,7.315172865044694,7.425222167916481,7.301377529391657,7.345679833094637,7.372578486314474
RWA,1514.091550707817,2024,7.322570901593114,7.315172865044694,7.425222167916481,7.301377529391657,7.345679833094637
SDN,303.7154405439817,2005,5.716091212194888,5.576320744921739,,,
SDN,347.5810192165965,2006,5.850997786654621,5.716091212194888,5.576320744921739,,
SDN,376.54306407416556,2007,5.9310324207101175,5.850997786654621,5.716091212194888,5.576320744921739,
SDN,299.07034286899784,2008,5.700678806152721,5.9310324207101175,5.850997786654621,5.716091212194888,5.576320744921739
SDN,262.2133168191374,2009,5.569158358823788,5.700678806152721,5.9310324207101175,5.850997786654621,5.716091212194888
SDN,312.78171845337863,2010,5.74550556212105,5.569158358823788,5.700678806152721,5.9310324207101175,5.850997786654621
SDN,282.6388784802478,2011,5.6441700350280435,5.74550556212105,5.569158358823788,5.700678806152721,5.9310324207101175
SDN,318.1172121732842,2012,5.762419906606817,5.6441700350280435,5.74550556212105,5.569158358823788,5.700678806152721
SDN,309.69737602249563,2013,5.73559561430037,5.762419906606817,5.6441700350280435,5.74550556212105,5.569158358823788
SDN,356.4347348841781,2014,5.876151151241015,5.73559561430037,5.762419906606817,5.6441700350280435,5.74550556212105
SDN,292.68384789661746,2015,5.6790930090409875,5.876151151241015,5.73559561430037,5.762419906606817,5.6441700350280435
SDN,343.82225223680166,2016,5.840124815219551,5.6790930090409875,5.876151151241015,5.73559561430037,5.762419906606817
SDN,347.2924220594693,2017,5.850167139930836,5.840124815219551,5.6790930090409875,5.876151151241015,5.73559561430037
SDN,370.68274365197107,2018,5.915346558363622,5.850167139930836,5.840124815219551,5.6790930090409875,5.876151151241015
SDN,382.0062765859759,2019,5.94543703932493,5.915346558363622,5.850167139930836,5.840124815219551,5.6790930090409875
SDN,385.29056767778246,2020,5.953997770869918,5.94543703932493,5.915346558363622,5.850167139930836,5.840124815219551
SDN,324.1906539829863,2021,5.781331780949541,5.953997770869918,5.94543703932493,5.915346558363622,5.850167139930836
SDN,378.3183845778003,2022,5.935736128337607,5.781331780949541,5.953997770869918,5.94543703932493,5.915346558363622
SDN,307.6792667260715,2023,5.729057898602033,5.935736128337607,5.781331780949541,5.953997770869918,5.94543703932493
SDN,323.1448912600511,2024,5.778100802393317,5.729057898602033,5.935736128337607,5.781331780949541,5.953997770869918
SEN,693.6108615485331,2005,6.541911085015769,6.294311704180533,,,
SEN,596.9380697476832,2006,6.39181337224565,6.541911085015769,6.294311704180533,,
SEN,508.7147822329619,2007,6.231887510248591,6.39181337224565,6.541911085015769,6.294311704180533,
SEN,716.6494881066805,2008,6.57458686208261,6.231887510248591,6.39181337224565,6.541911085015769,6.294311704180533
SEN,710.0854016339096,2009,6.565385246793244,6.57458686208261,6.231887510248591,6.39181337224565,6.541911085015769
SEN,769.2834233512791,2010,6.64545946252869,6.565385246793244,6.57458686208261,6.231887510248591,6.39181337224565
SEN,554.0471313395537,2011,6.317249757748777,6.64545946252869,6.565385246793244,6.57458686208261,6.231887510248591
SEN,748.0115479701975,2012,6.617418416318136,6.317249757748777,6.64545946252869,6.565385246793244,6.57458686208261
SEN,680.4634334875736,2013,6.522774085875638,6.617418416318136,6.317249757748777,6.64545946252869,6.565385246793244
SEN,510.12242751203786,2014,6.234650750855206,6.522774085875638,6.617418416318136,6.317249757748777,6.64545946252869
SEN,609.5726619250103,2015,6.412758157443289,6.234650750855206,6.522774085875638,6.617418416318136,6.317249757748777
SEN,590.0448107757451,2016,6.380198484483039,6.412758157443289,6.234650750855206,6.522774085875638,6.617418416318136
SEN,653.3583458957534,2017,6.4821257473579355,6.380198484483039,6.412758157443289,6.234650750855206,6.522774085875638
SEN,577.0163118264949,2018,6.357870536171758,6.4821257473579355,6.380198484483039,6.412758157443289,6.234650750855206
SEN,587.2667539474982,2019,6.375479152629719,6.357870536171758,6.4821257473579355,6.380198484483039,6.412758157443289
SEN,795.5852361993166,2020,6.67907798999431,6.375479152629719,6.357870536171758,6.4821257473579355,6.380198484483039
SEN,676.5860758566996,2021,6.5170596765556255,6.67907798999431,6.375479152629719,6.357870536171758,6.4821257473579355
SEN,764.340344885597,2022,6.639013167569782,6.5170596765556255,6.67907798999431,6.375479152629719,6.357870536171758
SEN,651.5671698589189,2023,6.479380491571101,6.639013167569782,6.5170596765556255,6.67907798999431,6.375479152629719
SEN,692.9631718997844,2024,6.54097685477601,6.479380491571101,6.639013167569782,6.5170596765556255,6.67907798999431
SLE,1948.3868886828423,2005,7.574757072635902,7.620948822182387,,,
SLE,2405.9651718586683,2006,7.785706420893139,7.574757072635902,7.620948822182387,,
